work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Engineer,Data Engineering,USD,200000,200000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,180000,180000,United States,Senior,Full-time,Remote,United States,M
2023,Director of Data Science,Data Science and Research,GBP,200000,246080,United Kingdom,Executive,Full-time,Remote,United Kingdom,M
2023,Director of Data Science,Data Science and Research,GBP,150000,184560,United Kingdom,Executive,Full-time,Remote,United Kingdom,M
2023,Data Scientist,Data Science and Research,USD,168000,168000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,130000,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,105000,105000,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,70000,70000,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,105000,105000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,100000,100000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,243000,243000,Canada,Senior,Full-time,In-person,Canada,M
2023,Data Engineer,Data Engineering,USD,152000,152000,Canada,Senior,Full-time,In-person,Canada,M
2023,BI Developer,BI and Visualization,USD,167500,167500,United States,Senior,Full-time,In-person,United States,M
2023,BI Developer,BI and Visualization,USD,106500,106500,United States,Senior,Full-time,In-person,United States,M
2023,Business Data Analyst,Data Analysis,GBP,65000,79976,Spain,Senior,Full-time,Remote,Gibraltar,L
2023,Business Intelligence Analyst,BI and Visualization,USD,115600,115600,United States,Senior,Full-time,In-person,United States,M
2023,Business Intelligence Analyst,BI and Visualization,USD,79700,79700,United States,Senior,Full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,281700,281700,United States,Entry-level,Full-time,In-person,United States,M
2023,Applied Scientist,Data Science and Research,USD,141100,141100,United States,Entry-level,Full-time,In-person,United States,M
2023,Data Specialist,Data Management and Strategy,USD,173100,173100,United States,Senior,Full-time,In-person,United States,M
2023,Data Specialist,Data Management and Strategy,USD,86900,86900,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,258700,258700,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,133800,133800,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,120000,120000,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,85000,85000,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,225300,225300,United States,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,197400,197400,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,157000,157000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,125000,125000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,208000,208000,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,134000,134000,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,140000,140000,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,65000,65000,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,258700,258700,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,258700,258700,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,188200,188200,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,GBP,40000,49216,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Engineer,Data Engineering,GBP,40000,49216,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Engineer,Data Engineering,USD,110000,110000,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,73400,73400,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,183414,183414,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,183414,183414,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,130000,130000,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,97200,97200,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,299000,299000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,187000,187000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,204500,204500,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,66000,66000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,190000,190000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,140000,140000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,170200,170200,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,83900,83900,United States,Mid-level,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,130000,130000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,USD,101570,101570,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,177000,177000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,118000,118000,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,234500,234500,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,127000,127000,United States,Senior,Full-time,In-person,United States,M
2023,ML Engineer,Machine Learning and AI,AUD,170000,114979,Australia,Senior,Full-time,Remote,Australia,L
2023,Data Scientist,Data Science and Research,USD,287500,287500,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,168000,168000,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,155000,155000,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,140000,140000,United States,Senior,Full-time,In-person,United States,M
2023,Data Lead,Leadership and Management,USD,230000,230000,United States,Executive,Full-time,In-person,United States,M
2023,Data Lead,Leadership and Management,USD,180000,180000,United States,Executive,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,153000,153000,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,93918,93918,United States,Senior,Full-time,In-person,United States,M
2023,Data Analyst,Data Analysis,USD,51962,51962,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,254000,254000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,200000,200000,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,214500,214500,United States,Senior,Full-time,In-person,United States,M
2023,Data Engineer,Data Engineering,USD,134500,134500,United States,Senior,Full-time,In-person,United States,M
2023,Data Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,104000,104000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,USD,110000,110000,United States,Mid-level,Full-time,Remote,United States,M
